Project_name,Bee Unique ID,Date_comb,Date_reformat,Locality_reformat,Latitude ,Longitude,Site_Grouping,Ecoregion,Elevation_ft,County,Collector,Time_Collected,Floral association (field ID),Verified Bee species ID,sex/caste,Final Species ID determiner,Specimen pinned?
calibombus,Cali00035,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00036,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00037,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00038,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00039,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00040,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00041,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00042,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00043,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00044,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00045,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00046,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00047,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00048,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00049,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00050,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,lupine,vosnesenskii,worker,,N
calibombus,Cali00051,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00052,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00053,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00054,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00055,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00056,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00057,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00058,5-May-19,5-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00059,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00060,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00061,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00062,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00063,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00064,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00065,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00066,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00067,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00068,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00069,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00070,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00071,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00072,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00073,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00074,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00075,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
calibombus,Cali00076,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,vosnesenskii,worker,,N
calibombus,Cali00077,5-May-19,6-May-19,Oakhurst,37.366585,-119.630979,OA,SN,2864,Madera Co.,SH Woodard,800-1600,vetch,melanopygus,worker,B Lewis-Smith,Y
