Site,lon,lat
James Reserve,-116.776344,33.808002
thomas mountain ,-116.40151,33.3802
Running Springs,-117.05439,34.11528
Stunt Ranch,-118.39188,34.0527
Pt. Mugu ,-119.018078,34.106343
Sedgwick ,-120.040382,34.692595
JepsonPrairie,-121.823575,38.2753
